 Cell_Line,Editing_Strategy,Gene,Matched_Variant_Count,VCF_Output
KOLF2-ARID2-A02,CRISPRoff,CEACAM16,0,NA
WTB_variants_PASS,CRISPRoff,CEACAM16,0,NA
WTC_variants_PASS,CRISPRoff,CEACAM16,0,NA
cN8-hNIL,indels,CEACAM16,0,NA
KOLF2-ARID2-A02,indels,CEACAM16,0,NA
WTB_variants_PASS,indels,CEACAM16,0,NA
WTC_variants_PASS,indels,CEACAM16,0,NA
cN8-hNIL,base_edits,CEACAM16,0,NA
KOLF2-ARID2-A02,base_edits,CEACAM16,0,NA
WTB_variants_PASS,base_edits,CEACAM16,0,NA
WTC_variants_PASS,base_edits,CEACAM16,0,NA
cN8-hNIL,CRISPRoff,CFB,0,NA
KOLF2-ARID2-A02,CRISPRoff,CFB,0,NA
WTB_variants_PASS,CRISPRoff,CFB,0,NA
WTC_variants_PASS,CRISPRoff,CFB,0,NA
cN8-hNIL,indels,CFB,0,NA
KOLF2-ARID2-A02,indels,CFB,0,NA
WTB_variants_PASS,indels,CFB,0,NA
WTC_variants_PASS,indels,CFB,1,final_intersections_var/WTC_variants_PASS_CFB_indels_shared.vcf.gz
cN8-hNIL,base_edits,CFB,0,NA
KOLF2-ARID2-A02,base_edits,CFB,0,NA
WTB_variants_PASS,base_edits,CFB,0,NA
WTC_variants_PASS,base_edits,CFB,0,NA
cN8-hNIL,CRISPRoff,CFH,0,NA
KOLF2-ARID2-A02,CRISPRoff,CFH,0,NA
WTB_variants_PASS,CRISPRoff,CFH,0,NA
WTC_variants_PASS,CRISPRoff,CFH,0,NA
cN8-hNIL,indels,CFH,2,final_intersections_var/cN8-hNIL_CFH_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CFH,0,NA
WTB_variants_PASS,indels,CFH,1,final_intersections_var/WTB_variants_PASS_CFH_indels_shared.vcf.gz
WTC_variants_PASS,indels,CFH,1,final_intersections_var/WTC_variants_PASS_CFH_indels_shared.vcf.gz
cN8-hNIL,base_edits,CFH,0,NA
KOLF2-ARID2-A02,base_edits,CFH,0,NA
WTB_variants_PASS,base_edits,CFH,0,NA
WTC_variants_PASS,base_edits,CFH,0,NA
cN8-hNIL,CRISPRoff,CHCHD10,0,NA
KOLF2-ARID2-A02,CRISPRoff,CHCHD10,1,final_intersections_var/KOLF2-ARID2-A02_CHCHD10_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,CHCHD10,0,NA
WTC_variants_PASS,CRISPRoff,CHCHD10,0,NA
cN8-hNIL,indels,CHCHD10,1,final_intersections_var/cN8-hNIL_CHCHD10_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CHCHD10,0,NA
WTB_variants_PASS,indels,CHCHD10,0,NA
WTC_variants_PASS,indels,CHCHD10,0,NA
cN8-hNIL,base_edits,CHCHD10,0,NA
KOLF2-ARID2-A02,base_edits,CHCHD10,0,NA
WTB_variants_PASS,base_edits,CHCHD10,0,NA
WTC_variants_PASS,base_edits,CHCHD10,0,NA
cN8-hNIL,CRISPRoff,CHMP2B,0,NA
KOLF2-ARID2-A02,CRISPRoff,CHMP2B,0,NA
WTB_variants_PASS,CRISPRoff,CHMP2B,0,NA
WTC_variants_PASS,CRISPRoff,CHMP2B,0,NA
cN8-hNIL,indels,CHMP2B,1,final_intersections_var/cN8-hNIL_CHMP2B_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CHMP2B,0,NA
WTB_variants_PASS,indels,CHMP2B,0,NA
WTC_variants_PASS,indels,CHMP2B,0,NA
cN8-hNIL,base_edits,CHMP2B,0,NA
KOLF2-ARID2-A02,base_edits,CHMP2B,0,NA
WTB_variants_PASS,base_edits,CHMP2B,0,NA
WTC_variants_PASS,base_edits,CHMP2B,0,NA
cN8-hNIL,CRISPRoff,CHRNA4,2,final_intersections_var/cN8-hNIL_CHRNA4_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,CHRNA4,2,final_intersections_var/KOLF2-ARID2-A02_CHRNA4_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,CHRNA4,0,NA
WTC_variants_PASS,CRISPRoff,CHRNA4,0,NA
cN8-hNIL,indels,CHRNA4,0,NA
KOLF2-ARID2-A02,indels,CHRNA4,0,NA
WTB_variants_PASS,indels,CHRNA4,0,NA
WTC_variants_PASS,indels,CHRNA4,0,NA
cN8-hNIL,base_edits,CHRNA4,0,NA
KOLF2-ARID2-A02,base_edits,CHRNA4,0,NA
WTB_variants_PASS,base_edits,CHRNA4,0,NA
WTC_variants_PASS,base_edits,CHRNA4,0,NA
cN8-hNIL,CRISPRoff,CHRNB2,1,final_intersections_var/cN8-hNIL_CHRNB2_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,CHRNB2,0,NA
WTB_variants_PASS,CRISPRoff,CHRNB2,0,NA
WTC_variants_PASS,CRISPRoff,CHRNB2,0,NA
cN8-hNIL,indels,CHRNB2,1,final_intersections_var/cN8-hNIL_CHRNB2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CHRNB2,0,NA
WTB_variants_PASS,indels,CHRNB2,0,NA
WTC_variants_PASS,indels,CHRNB2,0,NA
cN8-hNIL,base_edits,CHRNB2,0,NA
KOLF2-ARID2-A02,base_edits,CHRNB2,0,NA
WTB_variants_PASS,base_edits,CHRNB2,0,NA
WTC_variants_PASS,base_edits,CHRNB2,0,NA
cN8-hNIL,CRISPRoff,CLCN7,0,NA
KOLF2-ARID2-A02,CRISPRoff,CLCN7,0,NA
WTB_variants_PASS,CRISPRoff,CLCN7,3,final_intersections_var/WTB_variants_PASS_CLCN7_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,CLCN7,0,NA
cN8-hNIL,indels,CLCN7,0,NA
KOLF2-ARID2-A02,indels,CLCN7,0,NA
WTB_variants_PASS,indels,CLCN7,0,NA
WTC_variants_PASS,indels,CLCN7,0,NA
cN8-hNIL,base_edits,CLCN7,0,NA
KOLF2-ARID2-A02,base_edits,CLCN7,0,NA
WTB_variants_PASS,base_edits,CLCN7,0,NA
WTC_variants_PASS,base_edits,CLCN7,0,NA
cN8-hNIL,CRISPRoff,COL1A2,0,NA
KOLF2-ARID2-A02,CRISPRoff,COL1A2,0,NA
WTB_variants_PASS,CRISPRoff,COL1A2,0,NA
WTC_variants_PASS,CRISPRoff,COL1A2,0,NA
cN8-hNIL,indels,COL1A2,2,final_intersections_var/cN8-hNIL_COL1A2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,COL1A2,1,final_intersections_var/KOLF2-ARID2-A02_COL1A2_indels_shared.vcf.gz
WTB_variants_PASS,indels,COL1A2,1,final_intersections_var/WTB_variants_PASS_COL1A2_indels_shared.vcf.gz
WTC_variants_PASS,indels,COL1A2,4,final_intersections_var/WTC_variants_PASS_COL1A2_indels_shared.vcf.gz
cN8-hNIL,base_edits,COL1A2,0,NA
KOLF2-ARID2-A02,base_edits,COL1A2,1,final_intersections_var/KOLF2-ARID2-A02_COL1A2_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,COL1A2,0,NA
WTC_variants_PASS,base_edits,COL1A2,3,final_intersections_var/WTC_variants_PASS_COL1A2_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,COL4A4,0,NA
KOLF2-ARID2-A02,CRISPRoff,COL4A4,0,NA
WTB_variants_PASS,CRISPRoff,COL4A4,0,NA
WTC_variants_PASS,CRISPRoff,COL4A4,0,NA
cN8-hNIL,indels,COL4A4,0,NA
KOLF2-ARID2-A02,indels,COL4A4,0,NA
WTB_variants_PASS,indels,COL4A4,0,NA
WTC_variants_PASS,indels,COL4A4,5,final_intersections_var/WTC_variants_PASS_COL4A4_indels_shared.vcf.gz
cN8-hNIL,base_edits,COL4A4,0,NA
KOLF2-ARID2-A02,base_edits,COL4A4,0,NA
WTB_variants_PASS,base_edits,COL4A4,0,NA
WTC_variants_PASS,base_edits,COL4A4,3,final_intersections_var/WTC_variants_PASS_COL4A4_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,COL5A2,0,NA
KOLF2-ARID2-A02,CRISPRoff,COL5A2,0,NA
WTB_variants_PASS,CRISPRoff,COL5A2,0,NA
WTC_variants_PASS,CRISPRoff,COL5A2,0,NA
cN8-hNIL,indels,COL5A2,0,NA
KOLF2-ARID2-A02,indels,COL5A2,0,NA
WTB_variants_PASS,indels,COL5A2,1,final_intersections_var/WTB_variants_PASS_COL5A2_indels_shared.vcf.gz
WTC_variants_PASS,indels,COL5A2,1,final_intersections_var/WTC_variants_PASS_COL5A2_indels_shared.vcf.gz
cN8-hNIL,base_edits,COL5A2,0,NA
KOLF2-ARID2-A02,base_edits,COL5A2,0,NA
WTB_variants_PASS,base_edits,COL5A2,1,final_intersections_var/WTB_variants_PASS_COL5A2_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,COL5A2,0,NA
cN8-hNIL,CRISPRoff,COL6A1,0,NA
KOLF2-ARID2-A02,CRISPRoff,COL6A1,2,final_intersections_var/KOLF2-ARID2-A02_COL6A1_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,COL6A1,0,NA
WTC_variants_PASS,CRISPRoff,COL6A1,0,NA
cN8-hNIL,indels,COL6A1,0,NA
KOLF2-ARID2-A02,indels,COL6A1,1,final_intersections_var/KOLF2-ARID2-A02_COL6A1_indels_shared.vcf.gz
WTB_variants_PASS,indels,COL6A1,0,NA
WTC_variants_PASS,indels,COL6A1,0,NA
cN8-hNIL,base_edits,COL6A1,0,NA
KOLF2-ARID2-A02,base_edits,COL6A1,0,NA
WTB_variants_PASS,base_edits,COL6A1,0,NA
WTC_variants_PASS,base_edits,COL6A1,0,NA
cN8-hNIL,CRISPRoff,COL6A2,0,NA
KOLF2-ARID2-A02,CRISPRoff,COL6A2,0,NA
WTB_variants_PASS,CRISPRoff,COL6A2,0,NA
WTC_variants_PASS,CRISPRoff,COL6A2,0,NA
cN8-hNIL,indels,COL6A2,0,NA
KOLF2-ARID2-A02,indels,COL6A2,1,final_intersections_var/KOLF2-ARID2-A02_COL6A2_indels_shared.vcf.gz
WTB_variants_PASS,indels,COL6A2,0,NA
WTC_variants_PASS,indels,COL6A2,0,NA
cN8-hNIL,base_edits,COL6A2,0,NA
KOLF2-ARID2-A02,base_edits,COL6A2,2,final_intersections_var/KOLF2-ARID2-A02_COL6A2_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,COL6A2,0,NA
WTC_variants_PASS,base_edits,COL6A2,0,NA
cN8-hNIL,CRISPRoff,CPOX,0,NA
KOLF2-ARID2-A02,CRISPRoff,CPOX,0,NA
WTB_variants_PASS,CRISPRoff,CPOX,0,NA
WTC_variants_PASS,CRISPRoff,CPOX,0,NA
cN8-hNIL,indels,CPOX,0,NA
KOLF2-ARID2-A02,indels,CPOX,0,NA
WTB_variants_PASS,indels,CPOX,1,final_intersections_var/WTB_variants_PASS_CPOX_indels_shared.vcf.gz
WTC_variants_PASS,indels,CPOX,1,final_intersections_var/WTC_variants_PASS_CPOX_indels_shared.vcf.gz
cN8-hNIL,base_edits,CPOX,0,NA
KOLF2-ARID2-A02,base_edits,CPOX,0,NA
WTB_variants_PASS,base_edits,CPOX,0,NA
WTC_variants_PASS,base_edits,CPOX,0,NA
cN8-hNIL,CRISPRoff,CSNK2B,0,NA
KOLF2-ARID2-A02,CRISPRoff,CSNK2B,2,final_intersections_var/KOLF2-ARID2-A02_CSNK2B_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,CSNK2B,0,NA
WTC_variants_PASS,CRISPRoff,CSNK2B,2,final_intersections_var/WTC_variants_PASS_CSNK2B_CRISPRoff_shared.vcf.gz
cN8-hNIL,indels,CSNK2B,0,NA
KOLF2-ARID2-A02,indels,CSNK2B,0,NA
WTB_variants_PASS,indels,CSNK2B,0,NA
WTC_variants_PASS,indels,CSNK2B,1,final_intersections_var/WTC_variants_PASS_CSNK2B_indels_shared.vcf.gz
cN8-hNIL,base_edits,CSNK2B,0,NA
KOLF2-ARID2-A02,base_edits,CSNK2B,0,NA
WTB_variants_PASS,base_edits,CSNK2B,0,NA
WTC_variants_PASS,base_edits,CSNK2B,0,NA
cN8-hNIL,CRISPRoff,DCC,0,NA
KOLF2-ARID2-A02,CRISPRoff,DCC,0,NA
WTB_variants_PASS,CRISPRoff,DCC,0,NA
WTC_variants_PASS,CRISPRoff,DCC,0,NA
cN8-hNIL,indels,DCC,0,NA
KOLF2-ARID2-A02,indels,DCC,0,NA
WTB_variants_PASS,indels,DCC,2,final_intersections_var/WTB_variants_PASS_DCC_indels_shared.vcf.gz
WTC_variants_PASS,indels,DCC,2,final_intersections_var/WTC_variants_PASS_DCC_indels_shared.vcf.gz
cN8-hNIL,base_edits,DCC,0,NA
KOLF2-ARID2-A02,base_edits,DCC,0,NA
WTB_variants_PASS,base_edits,DCC,1,final_intersections_var/WTB_variants_PASS_DCC_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,DCC,0,NA
cN8-hNIL,CRISPRoff,DDR2,0,NA
KOLF2-ARID2-A02,CRISPRoff,DDR2,0,NA
WTB_variants_PASS,CRISPRoff,DDR2,0,NA
WTC_variants_PASS,CRISPRoff,DDR2,0,NA
cN8-hNIL,indels,DDR2,0,NA
KOLF2-ARID2-A02,indels,DDR2,0,NA
WTB_variants_PASS,indels,DDR2,1,final_intersections_var/WTB_variants_PASS_DDR2_indels_shared.vcf.gz
WTC_variants_PASS,indels,DDR2,0,NA
cN8-hNIL,base_edits,DDR2,0,NA
KOLF2-ARID2-A02,base_edits,DDR2,0,NA
WTB_variants_PASS,base_edits,DDR2,0,NA
WTC_variants_PASS,base_edits,DDR2,0,NA
cN8-hNIL,CRISPRoff,DES,1,final_intersections_var/cN8-hNIL_DES_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,DES,1,final_intersections_var/KOLF2-ARID2-A02_DES_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,DES,1,final_intersections_var/WTB_variants_PASS_DES_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,DES,0,NA
cN8-hNIL,indels,DES,3,final_intersections_var/cN8-hNIL_DES_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,DES,0,NA
WTB_variants_PASS,indels,DES,3,final_intersections_var/WTB_variants_PASS_DES_indels_shared.vcf.gz
WTC_variants_PASS,indels,DES,0,NA
cN8-hNIL,base_edits,DES,1,final_intersections_var/cN8-hNIL_DES_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,DES,0,NA
WTB_variants_PASS,base_edits,DES,1,final_intersections_var/WTB_variants_PASS_DES_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,DES,0,NA
cN8-hNIL,CRISPRoff,DNAJB11,0,NA
KOLF2-ARID2-A02,CRISPRoff,DNAJB11,0,NA
WTB_variants_PASS,CRISPRoff,DNAJB11,0,NA
WTC_variants_PASS,CRISPRoff,DNAJB11,1,final_intersections_var/WTC_variants_PASS_DNAJB11_CRISPRoff_shared.vcf.gz
cN8-hNIL,indels,DNAJB11,0,NA
KOLF2-ARID2-A02,indels,DNAJB11,0,NA
WTB_variants_PASS,indels,DNAJB11,0,NA
WTC_variants_PASS,indels,DNAJB11,1,final_intersections_var/WTC_variants_PASS_DNAJB11_indels_shared.vcf.gz
cN8-hNIL,base_edits,DNAJB11,0,NA
KOLF2-ARID2-A02,base_edits,DNAJB11,0,NA
WTB_variants_PASS,base_edits,DNAJB11,0,NA
WTC_variants_PASS,base_edits,DNAJB11,0,NA
cN8-hNIL,CRISPRoff,DNM1,0,NA
KOLF2-ARID2-A02,CRISPRoff,DNM1,0,NA
WTB_variants_PASS,CRISPRoff,DNM1,0,NA
WTC_variants_PASS,CRISPRoff,DNM1,0,NA
cN8-hNIL,indels,DNM1,0,NA
KOLF2-ARID2-A02,indels,DNM1,1,final_intersections_var/KOLF2-ARID2-A02_DNM1_indels_shared.vcf.gz
WTB_variants_PASS,indels,DNM1,1,final_intersections_var/WTB_variants_PASS_DNM1_indels_shared.vcf.gz
WTC_variants_PASS,indels,DNM1,0,NA
cN8-hNIL,base_edits,DNM1,0,NA
KOLF2-ARID2-A02,base_edits,DNM1,1,final_intersections_var/KOLF2-ARID2-A02_DNM1_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,DNM1,1,final_intersections_var/WTB_variants_PASS_DNM1_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,DNM1,0,NA
cN8-hNIL,CRISPRoff,DNM1L,0,NA
KOLF2-ARID2-A02,CRISPRoff,DNM1L,0,NA
WTB_variants_PASS,CRISPRoff,DNM1L,0,NA
WTC_variants_PASS,CRISPRoff,DNM1L,0,NA
cN8-hNIL,indels,DNM1L,0,NA
KOLF2-ARID2-A02,indels,DNM1L,0,NA
WTB_variants_PASS,indels,DNM1L,0,NA
WTC_variants_PASS,indels,DNM1L,2,final_intersections_var/WTC_variants_PASS_DNM1L_indels_shared.vcf.gz
cN8-hNIL,base_edits,DNM1L,0,NA
KOLF2-ARID2-A02,base_edits,DNM1L,0,NA
WTB_variants_PASS,base_edits,DNM1L,0,NA
WTC_variants_PASS,base_edits,DNM1L,1,final_intersections_var/WTC_variants_PASS_DNM1L_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,DNM2,0,NA
KOLF2-ARID2-A02,CRISPRoff,DNM2,0,NA
WTB_variants_PASS,CRISPRoff,DNM2,0,NA
WTC_variants_PASS,CRISPRoff,DNM2,0,NA
cN8-hNIL,indels,DNM2,1,final_intersections_var/cN8-hNIL_DNM2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,DNM2,1,final_intersections_var/KOLF2-ARID2-A02_DNM2_indels_shared.vcf.gz
WTB_variants_PASS,indels,DNM2,1,final_intersections_var/WTB_variants_PASS_DNM2_indels_shared.vcf.gz
WTC_variants_PASS,indels,DNM2,0,NA
cN8-hNIL,base_edits,DNM2,0,NA
KOLF2-ARID2-A02,base_edits,DNM2,0,NA
WTB_variants_PASS,base_edits,DNM2,0,NA
WTC_variants_PASS,base_edits,DNM2,0,NA
cN8-hNIL,CRISPRoff,DSC2,0,NA
KOLF2-ARID2-A02,CRISPRoff,DSC2,0,NA
WTB_variants_PASS,CRISPRoff,DSC2,0,NA
WTC_variants_PASS,CRISPRoff,DSC2,0,NA
cN8-hNIL,indels,DSC2,0,NA
KOLF2-ARID2-A02,indels,DSC2,0,NA
WTB_variants_PASS,indels,DSC2,1,final_intersections_var/WTB_variants_PASS_DSC2_indels_shared.vcf.gz
WTC_variants_PASS,indels,DSC2,0,NA
cN8-hNIL,base_edits,DSC2,0,NA
KOLF2-ARID2-A02,base_edits,DSC2,0,NA
WTB_variants_PASS,base_edits,DSC2,0,NA
WTC_variants_PASS,base_edits,DSC2,0,NA
cN8-hNIL,CRISPRoff,EED,0,NA
KOLF2-ARID2-A02,CRISPRoff,EED,0,NA
WTB_variants_PASS,CRISPRoff,EED,0,NA
WTC_variants_PASS,CRISPRoff,EED,0,NA
cN8-hNIL,indels,EED,1,final_intersections_var/cN8-hNIL_EED_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,EED,0,NA
WTB_variants_PASS,indels,EED,0,NA
WTC_variants_PASS,indels,EED,1,final_intersections_var/WTC_variants_PASS_EED_indels_shared.vcf.gz
cN8-hNIL,base_edits,EED,1,final_intersections_var/cN8-hNIL_EED_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,EED,0,NA
WTB_variants_PASS,base_edits,EED,0,NA
WTC_variants_PASS,base_edits,EED,1,final_intersections_var/WTC_variants_PASS_EED_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,EEF1A2,0,NA
KOLF2-ARID2-A02,CRISPRoff,EEF1A2,1,final_intersections_var/KOLF2-ARID2-A02_EEF1A2_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,EEF1A2,0,NA
WTC_variants_PASS,CRISPRoff,EEF1A2,0,NA
cN8-hNIL,indels,EEF1A2,0,NA
KOLF2-ARID2-A02,indels,EEF1A2,0,NA
WTB_variants_PASS,indels,EEF1A2,0,NA
WTC_variants_PASS,indels,EEF1A2,0,NA
cN8-hNIL,base_edits,EEF1A2,0,NA
KOLF2-ARID2-A02,base_edits,EEF1A2,0,NA
WTB_variants_PASS,base_edits,EEF1A2,0,NA
WTC_variants_PASS,base_edits,EEF1A2,0,NA
cN8-hNIL,CRISPRoff,EGFR,0,NA
KOLF2-ARID2-A02,CRISPRoff,EGFR,0,NA
WTB_variants_PASS,CRISPRoff,EGFR,0,NA
WTC_variants_PASS,CRISPRoff,EGFR,0,NA
cN8-hNIL,indels,EGFR,3,final_intersections_var/cN8-hNIL_EGFR_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,EGFR,1,final_intersections_var/KOLF2-ARID2-A02_EGFR_indels_shared.vcf.gz
WTB_variants_PASS,indels,EGFR,3,final_intersections_var/WTB_variants_PASS_EGFR_indels_shared.vcf.gz
WTC_variants_PASS,indels,EGFR,0,NA
cN8-hNIL,base_edits,EGFR,1,final_intersections_var/cN8-hNIL_EGFR_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,EGFR,1,final_intersections_var/KOLF2-ARID2-A02_EGFR_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,EGFR,1,final_intersections_var/WTB_variants_PASS_EGFR_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,EGFR,0,NA
cN8-hNIL,CRISPRoff,ELOVL4,0,NA
KOLF2-ARID2-A02,CRISPRoff,ELOVL4,0,NA
WTB_variants_PASS,CRISPRoff,ELOVL4,0,NA
WTC_variants_PASS,CRISPRoff,ELOVL4,0,NA
cN8-hNIL,indels,ELOVL4,0,NA
KOLF2-ARID2-A02,indels,ELOVL4,0,NA
WTB_variants_PASS,indels,ELOVL4,0,NA
WTC_variants_PASS,indels,ELOVL4,0,NA
cN8-hNIL,base_edits,ELOVL4,0,NA
KOLF2-ARID2-A02,base_edits,ELOVL4,0,NA
WTB_variants_PASS,base_edits,ELOVL4,0,NA
WTC_variants_PASS,base_edits,ELOVL4,0,NA
cN8-hNIL,CRISPRoff,EPHB4,1,final_intersections_var/cN8-hNIL_EPHB4_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,EPHB4,0,NA
WTB_variants_PASS,CRISPRoff,EPHB4,0,NA
WTC_variants_PASS,CRISPRoff,EPHB4,0,NA
cN8-hNIL,indels,EPHB4,0,NA
KOLF2-ARID2-A02,indels,EPHB4,0,NA
WTB_variants_PASS,indels,EPHB4,0,NA
WTC_variants_PASS,indels,EPHB4,0,NA
cN8-hNIL,base_edits,EPHB4,0,NA
KOLF2-ARID2-A02,base_edits,EPHB4,0,NA
WTB_variants_PASS,base_edits,EPHB4,0,NA
WTC_variants_PASS,base_edits,EPHB4,0,NA
cN8-hNIL,CRISPRoff,ETS1,0,NA
KOLF2-ARID2-A02,CRISPRoff,ETS1,0,NA
WTB_variants_PASS,CRISPRoff,ETS1,0,NA
WTC_variants_PASS,CRISPRoff,ETS1,0,NA
cN8-hNIL,indels,ETS1,1,final_intersections_var/cN8-hNIL_ETS1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ETS1,1,final_intersections_var/KOLF2-ARID2-A02_ETS1_indels_shared.vcf.gz
WTB_variants_PASS,indels,ETS1,1,final_intersections_var/WTB_variants_PASS_ETS1_indels_shared.vcf.gz
WTC_variants_PASS,indels,ETS1,0,NA
cN8-hNIL,base_edits,ETS1,1,final_intersections_var/cN8-hNIL_ETS1_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,ETS1,1,final_intersections_var/KOLF2-ARID2-A02_ETS1_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,ETS1,1,final_intersections_var/WTB_variants_PASS_ETS1_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,ETS1,0,NA
cN8-hNIL,CRISPRoff,F12,1,final_intersections_var/cN8-hNIL_F12_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,F12,1,final_intersections_var/KOLF2-ARID2-A02_F12_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,F12,1,final_intersections_var/WTB_variants_PASS_F12_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,F12,1,final_intersections_var/WTC_variants_PASS_F12_CRISPRoff_shared.vcf.gz
cN8-hNIL,indels,F12,1,final_intersections_var/cN8-hNIL_F12_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,F12,1,final_intersections_var/KOLF2-ARID2-A02_F12_indels_shared.vcf.gz
WTB_variants_PASS,indels,F12,1,final_intersections_var/WTB_variants_PASS_F12_indels_shared.vcf.gz
WTC_variants_PASS,indels,F12,1,final_intersections_var/WTC_variants_PASS_F12_indels_shared.vcf.gz
cN8-hNIL,base_edits,F12,0,NA
KOLF2-ARID2-A02,base_edits,F12,0,NA
WTB_variants_PASS,base_edits,F12,0,NA
WTC_variants_PASS,base_edits,F12,0,NA
cN8-hNIL,CRISPRoff,F2,0,NA
KOLF2-ARID2-A02,CRISPRoff,F2,0,NA
WTB_variants_PASS,CRISPRoff,F2,0,NA
WTC_variants_PASS,CRISPRoff,F2,0,NA
cN8-hNIL,indels,F2,0,NA
KOLF2-ARID2-A02,indels,F2,0,NA
WTB_variants_PASS,indels,F2,0,NA
WTC_variants_PASS,indels,F2,0,NA
cN8-hNIL,base_edits,F2,0,NA
KOLF2-ARID2-A02,base_edits,F2,0,NA
WTB_variants_PASS,base_edits,F2,0,NA
WTC_variants_PASS,base_edits,F2,0,NA
cN8-hNIL,CRISPRoff,F5,0,NA
KOLF2-ARID2-A02,CRISPRoff,F5,0,NA
WTB_variants_PASS,CRISPRoff,F5,0,NA
WTC_variants_PASS,CRISPRoff,F5,1,final_intersections_var/WTC_variants_PASS_F5_CRISPRoff_shared.vcf.gz
cN8-hNIL,indels,F5,1,final_intersections_var/cN8-hNIL_F5_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,F5,2,final_intersections_var/KOLF2-ARID2-A02_F5_indels_shared.vcf.gz
WTB_variants_PASS,indels,F5,2,final_intersections_var/WTB_variants_PASS_F5_indels_shared.vcf.gz
WTC_variants_PASS,indels,F5,3,final_intersections_var/WTC_variants_PASS_F5_indels_shared.vcf.gz
cN8-hNIL,base_edits,F5,0,NA
KOLF2-ARID2-A02,base_edits,F5,1,final_intersections_var/KOLF2-ARID2-A02_F5_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,F5,0,NA
WTC_variants_PASS,base_edits,F5,1,final_intersections_var/WTC_variants_PASS_F5_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,FBXO38,0,NA
KOLF2-ARID2-A02,CRISPRoff,FBXO38,0,NA
WTB_variants_PASS,CRISPRoff,FBXO38,0,NA
WTC_variants_PASS,CRISPRoff,FBXO38,0,NA
cN8-hNIL,indels,FBXO38,0,NA
KOLF2-ARID2-A02,indels,FBXO38,0,NA
WTB_variants_PASS,indels,FBXO38,1,final_intersections_var/WTB_variants_PASS_FBXO38_indels_shared.vcf.gz
WTC_variants_PASS,indels,FBXO38,1,final_intersections_var/WTC_variants_PASS_FBXO38_indels_shared.vcf.gz
cN8-hNIL,base_edits,FBXO38,0,NA
KOLF2-ARID2-A02,base_edits,FBXO38,0,NA
WTB_variants_PASS,base_edits,FBXO38,0,NA
WTC_variants_PASS,base_edits,FBXO38,0,NA
cN8-hNIL,CRISPRoff,FGB,0,NA
KOLF2-ARID2-A02,CRISPRoff,FGB,0,NA
WTB_variants_PASS,CRISPRoff,FGB,0,NA
